#time nev avnev sigma he_nev he_avnev he_sigma
284010218.0000 195.0 238.21861 -2.846205 5.0 17.244739 -3.256256 
284615018.0000 160.0 185.86467 -1.892896 3.0 13.11389 -3.102319 
285219818.0000 166.0 160.41381 0.490629 7.0 11.508748 -1.209332 
285824618.0000 103.0 125.73825 -2.031087 4.0 9.085989 -1.624533 
286429418.0000 104.0 122.48674 -1.65216 8.0 8.8288583 -0.054154 
287034218.0000 152.0 149.75392 0.237308 12.0 10.856396 0.5368189 
287639018.0000 167.0 176.13305 -0.643248 3.0 12.537873 -2.965843 
288243818.0000 201.0 236.79061 -2.343086 6.0 17.051147 -2.879329 
288848618.0000 161.0 221.53852 -4.228445 3.0 15.817999 -3.699037 
289453418.0000 162.0 166.70988 -0.314468 8.0 11.95112 -1.001648 
290058218.0000 132.0 142.10041 -0.800541 5.0 10.345462 -1.597351 
290663018.0000 109.0 124.10457 -1.322752 6.0 8.9726219 -0.8089 
291267818.0000 129.0 135.30294 -0.488063 4.0 9.7184267 -1.811235 
291872618.0000 203.0 172.69483 2.2915096 5.0 12.29142 -2.121778 
292477418.0000 119.0 147.74194 -2.389929 4.0 10.309044 -1.97879 
293082218.0000 191.0 247.47937 -3.696033 4.0 17.632843 -3.689209 
293687018.0000 161.0 193.18136 -2.334042 2.0 13.54834 -3.635184 
294291818.0000 126.0 203.25145 -5.777904 5.0 14.635098 -2.688219 
294896618.0000 96.0 165.81086 -5.829708 2.0 12.01462 -3.281747 
295501418.0000 101.0 143.49656 -3.687164 6.0 10.200614 -1.185091 
296106218.0000 118.0 183.06167 -5.090687 6.0 13.248342 -2.00717 
296711018.0000 113.0 192.91801 -6.185436 6.0 13.722863 -2.123927 
297315818.0000 152.0 241.50035 -6.135849 3.0 17.355388 -4.011366 
297920618.0000 164.0 248.98349 -5.698744 6.0 18.029377 -3.083613 
298525418.0000 121.0 203.34426 -6.195947 3.0 14.585179 -3.435261 
299130218.0000 123.0 174.72949 -4.079404 3.0 12.676786 -2.999098 
299735018.0000 85.0 142.05345 -5.112466 4.0 10.40622 -2.005776 
300339818.0000 113.0 147.66941 -2.917999 4.0 10.794536 -2.112063 
300944618.0000 108.0 175.50415 -5.431637 4.0 12.684332 -2.59797 
301549418.0000 132.0 205.4785 -5.436016 4.0 14.499098 -3.024096 
302154218.0000 150.0 246.65538 -6.59217 2.0 17.767597 -4.50026 
302759018.0000 169.0 232.41096 -4.326137 4.0 16.415864 -3.440147 
303363818.0000 122.0 186.84144 -5.012525 6.0 13.397526 -2.044157 
303968618.0000 101.0 145.66313 -3.857697 5.0 10.619994 -1.674922 
304573418.0000 103.0 127.25239 -2.161494 2.0 9.2259817 -2.562464 
305178218.0000 105.0 136.1174 -2.718334 5.0 9.8838672 -1.46391 
305783018.0000 183.0 172.18266 0.8658568 13.0 12.384231 0.3595453 
306387818.0000 275.0 205.04417 4.6836319 20.0 14.497456 1.5244728 
306992618.0000 178.0 102.57246 6.7920513 14.0 7.4246521 2.3480465 
307597418.0000 321.0 190.78212 8.6205072 27.0 13.308725 3.4363863 
308202218.0000 267.0 168.79254 7.0064935 21.0 11.981249 2.5143773 
308807018.0000 150.0 125.05629 2.2184274 6.0 8.984704 -0.81276 
309411818.0000 124.0 120.76902 0.3528817 3.0 8.6697559 -1.930674 
310016618.0000 123.0 150.95434 -2.293965 10.0 10.928611 -0.079196 
310621418.0000 184.0 173.73303 0.8211668 10.0 12.393516 -0.503327 
311226218.0000 210.0 232.86106 -1.478692 15.0 16.698368 -0.255272 
311831018.0000 248.0 230.78248 1.1626515 21.0 16.480814 1.2198563 
312435818.0000 157.0 172.11184 -1.117225 7.0 12.277795 -1.418293 
313040618.0000 158.0 145.41174 1.0833122 6.0 10.600309 -1.301165 
313645418.0000 156.0 125.2294 2.7030677 9.0 9.0037574 0.2196117 
314250218.0000 132.0 128.71362 0.3467579 8.0 9.2772264 -0.20259 
314855018.0000 180.0 161.56796 1.4745526 8.0 11.688946 -0.928851 
315459818.0000 314.0 260.94711 3.2205011 19.0 18.405546 0.2913438 
316064618.0000 253.0 266.25381 -0.777679 16.0 19.259031 -0.605451 
316669418.0000 193.0 207.9737 -1.003924 12.0 14.679152 -0.538714 
317274218.0000 177.0 170.28006 0.5621387 12.0 12.166281 0.1432541 
317879018.0000 130.0 136.96582 -0.542547 8.0 9.8781614 -0.394233 
318483818.0000 104.0 126.42651 -1.995647 6.0 9.1368484 -0.861075 
319088618.0000 115.0 136.5039 -1.832407 4.0 9.8842535 -1.858911 
319693418.0000 154.0 166.93837 -0.961953 7.0 11.979556 -1.338287 
320298218.0000 174.0 213.28804 -2.731415 11.0 15.17904 -0.941729 
320903018.0000 201.0 235.82295 -2.281728 11.0 17.032136 -1.381691 
321507818.0000 140.0 180.23202 -3.066757 9.0 12.745791 -0.902983 
322112618.0000 128.0 158.67639 -2.464548 5.0 11.460738 -1.904846 
322717418.0000 84.0 106.68067 -2.212436 7.0 7.7041206 -0.012618 
323322218.0000 137.0 133.38037 0.3692651 6.0 9.4743661 -0.966418 
323927018.0000 188.0 161.87805 2.0514314 17.0 11.51332 1.6832857 
324531818.0000 98.0 55.501068 5.217503 7.0 3.9668932 1.6527895 
325136618.0000 286.0 206.59138 5.2598886 11.0 14.940866 -0.882687 
325741418.0000 223.0 218.39112 0.355612 18.0 15.57297 0.7614033 
326346218.0000 168.0 168.8928 -0.017398 18.0 12.091455 1.7529301 
326951018.0000 192.0 140.48892 4.1654667 11.0 10.235311 0.4391473 
327555818.0000 211.0 126.06001 6.9423556 20.0 9.1299867 3.2761993 
328160618.0000 172.0 126.42237 3.8947691 32.0 9.1599102 6.0126218 
328765418.0000 237.0 166.01544 5.2200441 33.0 11.962958 5.1306405 
329370218.0000 276.0 198.17318 5.2584409 30.0 13.945469 3.8633675 
329975018.0000 302.0 242.90916 3.6915416 20.0 17.612682 0.709289 
330579818.0000 178.0 198.69081 -1.445709 28.0 13.919725 3.4577066 
331184618.0000 222.0 170.45134 3.8181202 23.0 12.203926 2.9068357 
331789418.0000 128.0 133.51283 -0.422061 12.0 9.605071 0.9440812 
332394218.0000 118.0 129.42887 -0.959777 8.0 9.3075418 -0.212452 
332999018.0000 113.0 139.79203 -2.284956 4.0 10.087521 -1.916671 
333603818.0000 113.0 166.14314 -4.320841 8.0 11.839259 -0.970716 
334208618.0000 192.0 219.68142 -1.862315 16.0 15.638291 0.2580111 
334813418.0000 193.0 237.14173 -2.917155 25.0 16.95857 1.9666349 
335418218.0000 162.0 180.12321 -1.322803 8.0 12.790549 -1.227971 
336023018.0000 123.0 140.07046 -1.41478 8.0 10.21479 -0.49823 
336627818.0000 100.0 99.286285 0.1382723 11.0 7.1497783 1.5513637 
337232618.0000 263.0 255.64508 0.4991646 13.0 18.185899 -1.110589 
337837418.0000 117.0 147.79637 -2.571183 13.0 10.647459 0.8884108 
338442218.0000 125.0 175.38154 -3.957094 8.0 12.362616 -1.11384 
339047018.0000 157.0 218.99397 -4.365112 8.0 15.65798 -1.935642 
