#time nev avnev sigma he_nev he_avnev he_sigma
281591018.0000 2529.0 2598.3889 -1.354197 685.0 701.56079 -0.602382 
282195818.0000 1901.0 1897.2901 0.1004374 507.0 521.97052 -0.629005 
282800618.0000 2137.0 2158.071 -0.439931 587.0 591.1845 -0.14483 
283405418.0000 2826.0 2902.2055 -1.408353 747.0 781.06835 -1.20387 
284010218.0000 4074.0 3949.5405 1.980653 995.0 1038.7534 -1.346306 
284615018.0000 4700.0 4656.0366 0.6530228 1187.0 1204.4595 -0.485011 
285219818.0000 4292.0 4254.9594 0.5772144 1174.0 1112.2701 1.8538703 
285824618.0000 3470.0 3379.4487 1.5621547 943.0 905.53765 1.258374 
286429418.0000 2230.0 2223.1159 0.1600539 605.0 603.52453 0.0871498 
287034218.0000 1850.0 1810.41 0.9426656 461.0 497.47641 -1.625474 
287639018.0000 2323.0 2394.3242 -1.451209 658.0 652.77587 0.2302291 
288243818.0000 3615.0 3537.8171 1.3040995 979.0 942.40179 1.2060608 
288848618.0000 4274.0 4271.0351 0.0555627 1102.0 1114.0213 -0.340783 
289453418.0000 4554.0 4506.4917 0.7163644 1159.0 1167.2713 -0.22283 
290058218.0000 3768.0 3762.2211 0.1050526 1016.0 995.58593 0.6657884 
290663018.0000 2799.0 2884.7766 -1.592522 738.0 783.0263 -1.600649 
291267818.0000 2195.0 2212.394 -0.356084 633.0 606.05023 1.113484 
291872618.0000 2260.0 2202.1535 1.2414479 614.0 603.03991 0.4719766 
292477418.0000 2063.0 2068.9519 -0.116246 525.0 556.80157 -1.332123 
293082218.0000 3807.0 3764.6721 0.6994078 993.0 996.52996 -0.090749 
293687018.0000 4392.0 4523.645 -1.956926 1148.0 1172.7158 -0.704705 
294291818.0000 4304.0 4251.145 0.8191665 1071.0 1111.9615 -1.215825 
294896618.0000 3444.0 3587.3906 -2.398997 963.0 955.57659 0.26135 
295501418.0000 2813.0 2764.7575 0.9274525 673.0 744.92657 -2.654374 
296106218.0000 2167.0 2237.2634 -1.479146 610.0 605.89593 0.1935706 
296711018.0000 2262.0 2294.573 -0.667638 649.0 621.21618 1.1329786 
